Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php)
"Santo Rosario, Baguio",Land,"Land,residential-lot",407.0,380.0,5.0,5.0,120.5872452,16.4009423,6919000.0
"Cuayan, Angeles",House,"House,single-family-house",240.0,330.0,4.0,6.0,120.579214,15.13943,22500000.0
"Cuayan, Angeles",House,"House,single-family-house",154.0,200.0,3.0,4.0,120.579214,15.13943,13500000.0
"Binuangan, Bagac",Land,"Land,agricutural-lot",500.0,567.9999999999999,4.3999999999999995,5.0,120.419994,14.512086,2500000.0
"Amparo, Pavia",House,"House,single-family-house",102.0,110.00000000000001,3.0,2.0,122.5224708,10.780516,4200000.0
"Dontogan, Baguio",House,"House,single-family-house",100.0,150.0,4.0,3.0,120.573056,16.380265,9000000.0
"Congressional Avenue, Quezon City",House,"House,single-family-house",240.0,400.0,4.0,4.0,121.031,14.66588,39000000.0
"Vergara, Mandaluyong",House,"House,townhouse",130.0,50.0,3.0,2.0,121.024192,14.576533,15000000.0
"Molino III, Bacoor",House,"House,single-family-house",110.0,84.0,2.0,2.0,120.9777822,14.3981207,4500000.0
"Maribago, Lapu-Lapu",Condominium,"Condominium,double-bedroom",46.200000000000045,37.24000000000001,2.0,1.0,123.998707,10.290415,2630000.0
"San Jose, Rodriguez",House,"House,townhouse",51.0,54.0,2.0,1.0,121.136064,14.751305,3232941.0
"Bambang, Taguig",House,"House,townhouse",158.0,220.0,3.0,3.0,121.06934,14.524033,48128734.17
"Buayang Bato, Mandaluyong",Condominium,"Condominium,double-bedroom",94.00000000000006,51.81999999999999,2.0,2.0,121.051068,14.569686,9636422.0
"Banilad, Cebu",House,"House,townhouse",67.0,110.00000000000001,3.0,2.0,123.91229,10.345495,9000000.0
Angeles,House,"House,single-family-house",154.0,200.0,3.0,4.0,120.6134411,15.139882,13500000.0
"Bambang, Taguig",House,"House,single-family-house",198.0,304.0,2.0,2.0,121.06934,14.524033,55000000.0
"Talon Dos, Las Pinas",House,"House,single-family-house",413.0,500.0,4.0,4.0,120.985214,14.438526,38000000.0
"Poblacion, Makati",Condominium,"Condominium,studio",72.0,35.28999999999999,1.0,1.0,121.0275016,14.5570169,10576029.54
"Palocpoc I, Mendez",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,120.87596,14.13508,22864000.0
"Ampid I, San Mateo",House,"House,single-family-house",102.0,145.0,4.0,3.0,121.121566,14.681735,9200000.0
"Talamban, Cebu",House,"House,villas",1215.5,700.0,5.0,5.0,123.911374,10.36171,57700000.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",51.00000000000006,37.5,1.0,1.0,121.0632793,14.5139759,13000000.0
"Loakan Proper, Baguio",Land,"Land,residential-lot",557.0,638.0,4.8,4.2,120.616748,16.377905,15460000.0
"Canlubang, Calamba",House,"House,villas",460.0,297.0,4.0,4.0,121.0533622,14.1857173,55000000.0
"Calajo-An, Minglanilla",House,"House,townhouse",95.59999999999997,88.85,4.0,3.0,123.8027106,10.2405482,7277852.67
"Batasan Hills, Quezon City",House,"House,single-family-house",133.0,80.0,3.0,2.0,121.096563,14.681641,8400000.0
"Grace Park East, Caloocan",Land,"Land,commercial-lot",625.0,469.59999999999997,4.3999999999999995,4.2,120.9905434,14.6514006,110503536.64125
"Galoc, Culion",Land,"Land,beach-lot",1215.5,728.0,7.0,7.199999999999999,119.880757,11.914903,110503536.64125
"Concepcion Uno, Marikina",House,"House,single-family-house",206.99999999999997,288.0,3.0,3.0,121.105875,14.649665,28000000.0
"Ayala Alabang, Muntinlupa",House,"House,single-family-house",784.0,735.0,7.0,8.3,121.022321,14.405874,110503536.64125
"Kaybagal South, Tagaytay",House,"House,single-family-house",507.0,675.25,6.0,5.0,120.9331771,14.0937467,58000000.0
"Binan, Binan",House,"House,single-family-house",142.0,120.0,3.0,4.0,121.0539924,14.2703263,6200000.0
"Bugtong Na Pulo, Lipa",House,"House,single-family-house",150.0,150.0,5.0,4.0,121.1705877,14.0042716,7508036.0
"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",194.0,157.0,2.0,2.0,121.053333,14.592173,52949693.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",39.80000000000001,60.0,2.0,2.0,121.0494,14.54595,17905470.0
"Salitran I, Dasmarinas",Land,"Land,residential-lot",176.0,176.66,4.6,3.4,120.93635,14.357185,3000000.0
"Buayang Bato, Mandaluyong",Condominium,"Condominium,double-bedroom",94.00000000000006,51.79999999999998,2.0,2.0,121.051068,14.569686,8636422.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",51.00000000000006,37.5,1.0,1.0,121.0494379,14.54595709,10840675.0
"Cansojong, Talisay",Land,"Land,residential-lot",125.0,146.5,4.2,3.4,123.845554,10.252439,3125000.0
"Cansojong, Talisay",Land,"Land,residential-lot",130.0,98.28799999999998,3.0,2.4,123.844793,10.253488,3250000.0
"Cansojong, Talisay",Land,"Land,residential-lot",184.99999999999997,242.16,3.8,3.6,123.844745,10.253555,4625000.0
"Tejero, General Trias",Land,"Land,residential-lot",280.0,498.20000000000005,4.199999999999999,4.2,120.866631,14.400861,16260000.0
"Kalikid Norte, Cabanatuan",Land,"Land,agricutural-lot",1215.5,728.0,7.0,7.199999999999999,121.0568499,15.488769,2700000.0
"Dontogan, Baguio",House,"House,villas",100.0,150.0,4.0,3.0,120.573056,16.380265,9000000.0
"San Isidro, Cainta",Condominium,"Condominium,single-bedroom",60.799999999999955,31.0,1.0,1.0,121.1176763,14.5876759,3600000.0
"Santo Rosario, Baguio",Land,"Land,residential-lot",407.0,380.0,5.0,5.0,120.5872452,16.4009423,6715500.0
"Tisa, Cebu",House,"House,townhouse",5.684341886080802e-14,87.0,3.0,2.0,123.86984,10.304145,5000000.0
"Bugtong Na Pulo, Lipa",House,"House,townhouse",115.0,93.0,3.0,2.0,121.1705877,14.0042716,4800000.0
"Inarawan, Antipolo",House,"House,single-family-house",264.0,172.0,4.0,5.0,121.240436,14.670622,18000000.0
"San Lucas, Lipa",House,"House,townhouse",44.0,40.0,2.0,1.0,121.1808769,14.0178701,1823935.0
